timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1781906952000,829.1761979,1317.5178125,1689.5984896,31.7660937,-,-
1781907003000,822.1472103,1322.3732161,1691.537474,32.0006934,-,-
1781907054000,784.6245247,1324.7689323,1726.4091667,32.2559701,-,-
1781907105000,736.3663411,1347.8326172,1751.3337891,32.525944,-,-
1781907156000,743.3933594,1333.3428125,1758.5483073,32.7741276,-,-
1781907207000,786.0384961,1290.0991602,1758.9132617,33.0076107,-,-
1781907258000,821.8455339,1253.6883724,1759.2832292,33.2414518,-,-
1781907309000,809.6440137,1264.0301563,1760.8922005,33.4923437,-,-
1781907360000,723.060612,1343.1492188,1768.065625,33.7832031,-,-
1781907411000,717.0877018,1338.4220898,1778.4916276,34.0571842,-,-
1781907462000,716.8032943,1334.8889714,1782.049974,34.3163542,-,-
1781907513000,699.2656217,1351.2340365,1783.0283724,34.5305632,-,-
1781907564000,695.1435938,1354.7767188,1783.4041146,34.7341927,-,-
1781907615000,706.3069499,1336.5171224,1790.2666016,34.9679525,-,-
1781907666000,688.0561068,1332.3798047,1812.3602344,35.2624023,-,-
1781907717000,649.762832,1350.6148503,1831.9640234,35.7170085,-,-
1781907768000,647.072526,1352.548125,1832.2421875,36.1957292,-,-
1781907819000,673.5314128,1326.0382943,1831.9963542,36.4924674,-,-
1781907870000,694.9796875,1304.4080729,1831.9405599,36.7302409,-,-
1781907921000,702.1577604,1294.062526,1834.8511068,36.9872233,-,-
1781907972000,687.1394141,1301.5255729,1842.1302083,37.2634635,-,-
1781908023000,625.456097,1355.7941016,1849.305,37.503457,-,-
1781908074000,602.6108529,1378.6659635,1849.0623958,37.719388,-,-
1781908125000,568.8123861,1400.292806,1860.9777995,37.975651,-,-
1781908176000,515.2590755,1439.9679427,1874.6256771,38.2059245,-,-
1781908227000,511.6311491,1433.0569987,1884.9132161,38.4571712,-,-
1781908278000,551.3735742,1385.6606771,1892.2941667,38.7300846,-,-
1781908329000,551.538431,1373.3133594,1904.2292187,38.9775651,-,-
1781908380000,433.5999349,1458.9026042,1936.3760417,39.1798828,-,-
1781908431000,334.9840527,1518.1249154,1975.5088021,39.440804,-,-
1781908482000,373.0589388,1500.3191536,1955.5566406,39.1238151,-,-
1781908533000,457.7297949,1431.2120703,1938.9826562,40.1340072,-,-
1781908584000,502.0071354,1386.3946875,1938.4555729,41.2011328,-,-
