timestamp,Dirty (mebibytes),Writeback (mebibytes),anomaly%,annotations
1781911236000,5.1070833,0.0007031,-,-
1781911287000,5.4098926,0.0011426,-,-
1781911338000,1.4787044,0.0009701,-,-
1781911389000,0.4321484,0.0006803,-,-
1781911440000,0.324349,0.0008464,-,-
1781911491000,0.495179,0.0014551,-,-
1781911542000,5.9083073,0.0032031,-,-
1781911593000,4.4008919,0.0017936,-,-
1781911644000,0.8364453,0.0000391,-,-
1781911695000,0.2257324,0,-,-
1781911746000,0.3845768,0,-,-
1781911797000,0.3414681,0,-,-
1781911848000,6.0721615,0.0006771,-,-
1781911899000,2.8499707,0.0003385,-,-
1781911950000,19.0707682,0.0013346,-,-
1781912001000,50.0531348,0.002513,-,-
1781912052000,67.0270387,0.001875,-,-
1781912103000,42.1505236,0.0000033,-,-
1781912154000,12.6257199,0.0000586,-,-
1781912205000,9.5447428,0.0001139,-,-
1781912256000,4.1432031,0.0000521,-,-
1781912307000,0.4217839,0,-,-
1781912358000,0.3377539,0.0003516,-,-
1781912409000,1.435013,0.0010352,-,-
1781912460000,8.2279297,0.0002604,-,-
1781912511000,2.692526,0.0000391,-,-
1781912562000,57.4675456,0.0010026,-,-
1781912613000,36.8488314,0.0006445,-,-
1781912664000,3.7936068,0,-,-
1781912715000,6.7201009,0,-,-
1781912766000,0.3582031,0.0000065,-,-
1781912817000,0.3288737,0.0000618,-,-
1781912868000,4.9970443,0.0000651,-,-
1781912919000,2.3701432,0.000446,-,-
1781912970000,0.2952474,0.0003255,-,-
1781913021000,0.3204883,0,-,-
1781913072000,0.4259375,0,-,-
1781913123000,0.8900488,0,-,-
1781913174000,8.8091602,0,-,-
1781913225000,2.6894531,0,-,-
1781913276000,3.0285286,0.09,-,-
1781913327000,2.9106022,0.0825,-,-
1781913378000,0.5223242,0,-,-
1781913429000,1.6022949,0,-,-
1781913480000,8.4186198,0,-,-
1781913531000,1.8949805,0,-,-
1781913582000,0.423099,0.0000456,-,-
1781913633000,0.3348047,0.0000293,-,-
1781913684000,0.3378646,0,-,-
1781913735000,1.8702799,0.0001628,-,-
1781913786000,6.6805924,0.000599,-,-
